location_code,name,category,latitude,longitude,description,is_active
geology-dept,Department of Earth Science (Geology),departments,5.6512,-0.1845,"The Department of Earth Science (formerly Geology), College of Basic and Applied Sciences, teaches geology, hydrogeology and mineral exploration.",1
inter-affairs,Centre for International Affairs,offices,5.6521,-0.1841,"The Centre for International Affairs coordinates the University's international partnerships, memoranda of understanding and collaborations.",1
physics-dept,Department of Physics,departments,5.6512,-0.1856,"The Department of Physics (College of Basic and Applied Sciences) offers programmes in physics and materials science, with teaching and research laboratories.",1
plant-&-envt-biology,Department of Plant and Environmental Biology,departments,5.6539,-0.1862,"The Department of Plant and Environmental Biology (College of Basic and Applied Sciences) covers botany, plant ecology and environmental biology.",1
pharmacy-school,School of Pharmacy,departments,5.6538,-0.1893,The School of Pharmacy (College of Health Sciences) trains pharmacists through the Doctor of Pharmacy (PharmD) programme.,1
biochem-dept,Department of Biochemistry,departments,5.6547,-0.1894,"The Department of Biochemistry, Cell and Molecular Biology (College of Basic and Applied Sciences) offers programmes in biochemistry and molecular life sciences and hosts the WACCBIP research centre.",1
nursing-and-midwifery,School of Nursing and Midwifery,departments,5.6538,-0.1902,The School of Nursing and Midwifery (College of Health Sciences) trains nurses and midwives at undergraduate and graduate levels.,1
french-dept,Department of French,departments,5.6509,-0.1887,"The Department of French (College of Humanities) teaches French language, literature and francophone studies.",1
isser,"Institute of Statistical, Social and Economic Research (ISSER)",research,5.6545,-0.1844,"The Institute of Statistical, Social and Economic Research (ISSER) is UG's premier policy research institute, known for the annual State of the Ghanaian Economy report.",1
animal-science-dept,Department of Animal Science,departments,5.6499,-0.1832,"The Department of Animal Science (School of Agriculture, College of Basic and Applied Sciences) teaches livestock production, nutrition and breeding.",1
agriecons-agricbusiness,Department of Agricultural Economics and Agribusiness,departments,5.6497,-0.1834,"The Department of Agricultural Economics and Agribusiness (School of Agriculture) trains students in agricultural economics, finance and agribusiness management.",1
agric-faculty,School of Agriculture,departments,5.6502,-0.1838,"The School of Agriculture (College of Basic and Applied Sciences) coordinates the crop science, soil science, animal science and agribusiness departments, with research farms at Legon, Nungua and Kade.",1
biotech-lab,Biotechnology Laboratory,research,5.6488,-0.1837,Laboratory facility supporting teaching and research in molecular biology and biotechnology under the College of Basic and Applied Sciences.,1
CEGENSA,Centre for Gender Studies and Advocacy (CEGENSA),research,5.6491,-0.1837,"The Centre for Gender Studies and Advocacy (CEGENSA) leads research, teaching and advocacy on gender equity across the University.",1
crop-science,Department of Crop Science,departments,5.6501,-0.1848,"The Department of Crop Science (School of Agriculture) covers agronomy, horticulture and plant breeding.",1
music-dept,Department of Music,departments,5.6492,-0.1808,"The Department of Music (School of Performing Arts) teaches African and Western music theory, performance and composition.",1
CERGIS,CERSGIS – Remote Sensing & GIS Lab,research,5.6513,-0.1828,"The Centre for Remote Sensing and Geographic Information Services (CERSGIS) provides GIS and remote-sensing research, training and mapping services.",1
econs-dept,Department of Economics,departments,5.651,-0.1874,"The Department of Economics (College of Humanities) is one of the oldest economics departments in sub-Saharan Africa, offering BA, MPhil and PhD programmes.",1
research-office,Research and Innovation Office Complex,offices,5.6537,-0.1928,"The Office of Research, Innovation and Development (ORID) coordinates research grants, partnerships and innovation across the University.",1
biomed-dept,Department of Biomedical Engineering,departments,5.6556,-0.1831,The Department of Biomedical Engineering (School of Engineering Sciences) trains engineers in medical devices and health technology.,1
N-block,New N Block,lecture-halls,5.656,-0.1879,The New N Block is a modern multi-purpose lecture complex serving large classes across the social sciences and humanities.,1
c3ss,Centre for Climate Change and Sustainability Studies (C3SS),research,5.6566,-0.1879,The Centre for Climate Change and Sustainability Studies (C3SS) coordinates interdisciplinary climate research and graduate programmes.,1
GCB-lecture-hall,GCB Lecture Building,lecture-halls,5.655,-0.1883,"Modern lecture complex funded by GCB Bank, hosting large undergraduate lectures.",1
sociology-dept,Department of Sociology,departments,5.6503,-0.1897,The Department of Sociology (College of Humanities) offers programmes in sociology and social policy.,1
GRASAG,School of Graduate Studies,departments,5.6531,-0.1907,"The School of Graduate Studies administers admissions, supervision and regulations for all masters and doctoral programmes; the building also hosts the GRASAG secretariat.",1
modern-langs,Department of Modern Languages,departments,5.6494,-0.1877,"The Department of Modern Languages (College of Humanities) teaches languages including Arabic, Chinese, Kiswahili, Russian and Spanish.",1
history-dept,Department of History,departments,5.6501,-0.1894,"The Department of History (College of Humanities) offers programmes in Ghanaian, African and global history.",1
MIASA,Merian Institute for Advanced Studies in Africa (MIASA),research,5.6479,-0.1912,"The Merian Institute for Advanced Studies in Africa (MIASA), a Ghanaian-German institute hosted at UG, hosts international fellows researching sustainable governance.",1
maison-francaise,Maison Française Legon,departments,5.6493,-0.1877,"Maison Française Legon promotes French language and culture through courses and cultural events, in partnership with the French Embassy in Ghana.",1
soil-science,Department of Soil Science,departments,5.6503,-0.1848,"The Department of Soil Science (School of Agriculture) teaches soil fertility, conservation and land management.",1
fam-and-consumer,Department of Family and Consumer Sciences,departments,5.6503,-0.1841,"The Department of Family and Consumer Sciences (College of Basic and Applied Sciences) covers foods and nutrition, textiles and family resource management.",1
UG-creche-kg,UG Creche and Kindergarten School,childcare,5.6497,-0.1839,"The University of Ghana Crèche and Kindergarten provides early-childhood care and education for children of staff, students and the surrounding community.",1
mfodwo,Mfodwo Complex (N Block),lecture-halls,5.6546,-0.187,"The Mfodwo Complex (N Block) is a lecture and training facility used for classes, workshops and professional programmes.",1
socioso,School of Social Sciences,departments,5.6551,-0.1873,"The School of Social Sciences (College of Humanities) coordinates departments including Economics, Political Science, Sociology, Psychology and Geography.",1
CSPS,CSPS - Centre for Social Policy Studies,research,5.6549,-0.1876,"The Centre for Social Policy Studies (CSPS) researches social policy, poverty and social protection in Ghana.",1
religions,Department for the Study of Religions,departments,5.6509,-0.1883,"The Department for the Study of Religions (College of Humanities) studies African traditional religions, Christianity, Islam and comparative religion.",1
philosophy-&-classics,Department of Philosophy and Classics,departments,5.6509,-0.1881,"The Department of Philosophy and Classics (College of Humanities) teaches philosophy, logic, ethics and classical studies.",1
economic-policy,Economic Policy Management Programme Office,research,5.6512,-0.188,The Economic Policy Management (EPM) programme office runs a graduate programme training economic policy analysts for Ghana and the wider African region.,1
public-health,School of Public Health,departments,5.6366,-0.1827,"The School of Public Health (College of Health Sciences) offers MPH and research programmes in epidemiology, health policy and population health.",1
maths-dept,Department of Mathematics,departments,5.6538,-0.1841,The Department of Mathematics (College of Basic and Applied Sciences) offers programmes in pure and applied mathematics.,1
stats-dept,Department of Statistics and Actuarial Science,departments,5.6538,-0.1838,The Department of Statistics and Actuarial Science (College of Basic and Applied Sciences) trains statisticians and actuaries.,1
WAGMC,West African Genetic Medicine Centre (WAGMC),research,5.6348,-0.1847,"The West African Genetic Medicine Centre (WAGMC) is a centre of excellence for genetic medicine, genetic counselling and genomics research and training.",1
engineering,School of Engineering Sciences,departments,5.6553,-0.183,"The School of Engineering Sciences (College of Basic and Applied Sciences) offers programmes in biomedical, computer, food process, agricultural and materials science engineering.",1
performing-arts,School of Performing Arts,departments,5.6501,-0.1819,"The School of Performing Arts comprises the Departments of Music, Dance Studies and Theatre Arts, and stages productions at the Efua Sutherland Drama Studio.",1
legon-hall,Legon Hall,residences,5.6502,-0.1884,"One of the premier residential halls on campus, housing both undergraduate and graduate students. Features dining facilities and common areas.",1
commonwealth-hall,Commonwealth Hall,residences,5.6506,-0.1925,"Male residential hall known as ""Vandals"". Provides accommodation and dining services for students with various social and academic facilities.",1
volta-hall,Volta Hall,residences,5.6518,-0.1898,"Originally an all-female hall, now co-ed. Features residential facilities, dining hall, and recreational areas for students.",1
akuafo-hall,Akuafo Hall,residences,5.6503,-0.1857,The Akuafo Hall also known as the Hall of Excellence is the Second residential Hall established in UG. It is named as Akuafo Hall in appreciation to the generous gesture of the cocoa farmers who contributed huge sums of money to its establishment,1
akuafo-hall-annex,Akuafo Hall Annex,residences,5.6476,-0.1856,"The Akuafo Hall currently has four annex buildings, i.e. Annex A, B, C, and D. These structures were set up to support the increasing student population",1
mensah-sarbah-hall,Mensah Sarbah Hall,residences,5.6462,-0.1871,"Mensah Sarbah Hall is the ""youngest"" of the 5 traditional Halls of residence at the University of Ghana. It was opened in October 1963.",1
vikings-hostel,Vikings Hostel,hostels,5.6442,-0.1856,This is a private hostel owned by the alumni of the Mensah Sarbah Hall. The project was funded by Cidan Ivestments Ltd.,1
legon-hall-annex,Legon Hall Annex,residences,5.6474,-0.1881,"As part of the Main Hall, the premier hall has three annex buildings. i.e. Annex A,B and C.",1
mensah-sarbah-annex,Mensah Sarbah Annex,residences,5.6454,-0.1854,"Has four annex buildings. Annex A, B, C and D.",1
valco-trust-hostel,Valco Trust Hostel,hostels,5.6443,-0.1869,Valco as is popularly referred to is adjacent the Vikings Hostel and behind the Mensah Sarbah Main Hall,1
old-pentagon-blocks,Old Pentagon Blocks,hostels,5.6567,-0.1814,"This is the Ghana Hostels Ltd flats that started the name Pentagon. The individual buildings that forms the old pentagon blocks are Addis-Ababa Court, Kampala Court, Dar es Salaam Court and Nairobi Court",1
pent-hostel-block-a,Pent Hostel Block A,hostels,5.6572,-0.182,"Currently known as the Africa Union Halls, the Pent Hostels were built by SSNIT. It is arguably the most popular residential facility of the UG campus",1
pent-hostel-block-b,Pent Hostel Block B,hostels,5.6585,-0.1819,"Currently known as the Africa Union Halls, the Pent Hostels were built by SSNIT. It is arguably the most popular residential facility of the UG campus",1
pent-hostel-block-c,Pent Hostel Block C,hostels,5.6584,-0.1813,"Currently known as the Africa Union Halls, the Pent Hostels were built by SSNIT. It is arguably the most popular residential facility of the UG campus",1
evandy-hostel,Evandy Hostel,hostels,5.6629,-0.1817,Currently Evandy Hall and this was turned into a hall after the tenancy agreement with the university elapsed and ownership transferred to University authority.,1
bani-hostel,Bani Hostel,hostels,5.663,-0.1797,Initially a private hostel and later had transferred to the status of a hall after the tenancy agreement with the university had elapsed,1
tf-hostel,TF Hostel,hostels,5.6662,-0.1821,The Teachers Fund Hostel is currently known as the James Topp Nelson Yankah Hall,1
jubilee-hall,Jubilee Hall,residences,5.6405,-0.186,"Opposite the International Students Hall, the Jubille Hall was built to commemorate the school's Golden Jubilee celebration",1
ish-hostel,International Student Hostel,hostels,5.6399,-0.1852,The Teachers Fund Hostel is currently known as the James Topp Nelson Yankah Hall,1
limann-hall,Dr. Hilla Limann Hall,residences,5.6373,-0.1848,"The first of the University of Ghana Enterprise Limited (UGEL) hostels to be completed.t was inaugurated in July 2010, during which the Vice-Chancellor announced the decision to name it after Dr. Hilla Limann, a former President of the Republic of Ghana.",1
kwapong-hall,Alexander Kwapong Hall,residences,5.637,-0.1855,Named after Professor Alexander Kwapong a former Vice-Chancellor and Chairman of the Council of State.,1
sey-hall,Elizabeth Sey Hall,residences,5.6358,-0.1877,"The second of the newer halls built by University of Ghana Enterprise Limited (UGEL) Hostels to be completed. It was inaugurated in July 2010 and was named after the first female graduate of the university, Elizabeth Frances Baaba Sey",1
jean-nelson-hall,Jean Nelson Akah Hall,residences,5.6355,-0.1882,"Jean Nelson Aka Hall is one of the four UGEL halls opened in 2010/2011, named in honour of Jean Nelson Aka, one of the first two women to graduate from the University of Ghana.",1
cafeteria,Central Cafeteria,food,5.6468,-0.1868,"Main student dining facility serving breakfast, lunch and dinner. Offers a variety of local and continental dishes.",1
hospital,Legon Hospital,health,5.6511,-0.1779,"University hospital providing healthcare services to students, staff and the surrounding community. Offers emergency and outpatient services.",1
UG-Stadium,University of Ghana Sports Stadium,sports,5.6393,-0.1811,"University sports facilities including football stadium, tennis courts, basketball courts, swimming pool, and gymnasium.",1
bank,UG Banking Square,banking,5.6427,-0.1856,"Full-service bank branches located on campus offering banking services to students, staff and visitors. Includes ATMs and Forex services",1
ecowas-coastal-marine,ECOWAS Coastal & Marine Resources Management Centre,research,5.6527,-0.1839,Regional ECOWAS centre hosted at the University of Ghana for training and cooperation in coastal and marine resources management in West Africa.,1
ghkorea-info,Ghana Korea Information Access Centre,ict,5.652,-0.1877,"The Ghana-Korea Information Access Centre, established with KOICA support, provides free ICT facilities, internet access and digital-skills training.",1
basicschool-info,University of Ghana Basic School,childcare,5.643561,-0.187998,"The University Basic School, originally established in 1955 as the University Primary School, is a prestigious co-educational institution located on a scenic, dedicated section of the university campus. It was originally founded to provide top-tier education for the children of university faculty and staff.",1
nightmarket-info,Legon Nightmarket,food,5.6425,-0.18628,"The University of Ghana Night Market is the vibrant, beating commercial heart of the campus community. Though it operates throughout the day, it truly comes alive after sundown as a bustling hub of commerce, social interaction, and student nightlife.Use the referral code (FRAN-3806) for freebies.",1
pent food spot1-info,Pizza King,food,5.6583,-0.1809,"Pizza King Gh is a staple campus pizzeria located directly at Pentagon Hostel Block C. It is widely celebrated among students as a lively, trendy chill spot to enjoy freshly baked, handcrafted comfort food.",1
pent food spot2-info,Bobalicious Spot,food,5.6581,-0.1812,"Bobalicious Ghana is rapidly expanding as one of Accra's premier bubble tea brands, known heavily for prioritizing high-quality flavor and a hygienic brewing environment. To the delight of the student body, they opened a dedicated campus branch situated at the Pentagon Hostel Block C bus stop.",1
pent food spot3-info,Sweet Top Bites,food,5.657204,-0.180218,"Sweet Top Bites is a highly rated, woman-owned fast-food spot positioned perfectly for the student community near the Legon Shell station, right behind the Pentagon (Pent) Hostel. It has earned a reputation for serving big, flavor-packed portions with great value..",1
